Type,Details,Particulars,Code,Reference,Amount,Date,Processed Date
Direct credit,ACME DESIGN LTD,SALARY,,,6200.00,14/08/2026,14/08/2026
Visa purchase,COUNTDOWN GREY LYNN,,,,-112.40,13/08/2026,13/08/2026
Visa purchase,ALLPRESS ESPRESSO,,,,-6.50,13/08/2026,13/08/2026
Eft-pos,Z ENERGY PONSONBY,,,,-78.20,12/08/2026,12/08/2026
Automatic payment,LANDLORD LTD,RENT,,,-1850.00,01/08/2026,01/08/2026
Direct debit,NETFLIX.COM,,,,-24.99,08/08/2026,08/08/2026
Visa purchase,FARRO FRESH,,,,-64.30,10/08/2026,10/08/2026
Direct credit,IRD,TAX REFUND,,,340.00,05/08/2026,05/08/2026
Visa purchase,EVENT CINEMAS NEW MARKET,,,,-32.00,09/08/2026,09/08/2026
Atm,WESTPAC ATM QUEEN ST,,,,-80.00,07/08/2026,07/08/2026
Direct credit,NORTH STUDIO,INVOICE 441,,,960.00,18/08/2026,18/08/2026
Visa purchase,UNIQLO NEW MARKET,,,,-48.00,11/08/2026,11/08/2026
Opening balance,,,,,,12450.00,01/08/2026,
