Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount
20/08/2026,20260820001,D/C,,AUCKLAND DHB PAYROLL,SALARY,7432.18
19/08/2026,20260819001,EFTPOS,,COUNTDOWN MT EDEN,,-87.43
19/08/2026,20260819002,EFTPOS,,ALLPRESS ESPRESSO PONSONBY,,-7.50
18/08/2026,20260818001,VISA,,UBER EATS,,-38.70
17/08/2026,20260817001,EFTPOS,,Z ENERGY GREY LYNN,,-89.64
16/08/2026,20260816001,D/C,,NORTH STUDIO LTD,INVOICE 882,1150.00
15/08/2026,20260815001,D/D,,GENESIS ENERGY,POWER,-186.42
14/08/2026,20260814001,D/D,,SPARK FIBRE,,-99.00
12/08/2026,20260812001,VISA,,NEW WORLD VICTORIA PARK,,-124.90
11/08/2026,20260811001,EFTPOS,,AT HOP TOP UP,,-40.00
10/08/2026,20260810001,VISA,,UNIQLO COMMERCIAL BAY,,-64.00
09/08/2026,20260809001,VISA,,EVENT CINEMAS QUEEN ST,,-29.50
08/08/2026,20260808001,D/C,,IRD,TAX REFUND,428.60
08/08/2026,20260808002,D/D,,NETFLIX.COM,,-24.99
06/08/2026,20260806001,EFTPOS,,UNCHEM PHARMACY,,-22.80
05/08/2026,20260805001,VISA,,FARRO FRESH FREEMANS BAY,,-56.20
05/08/2026,20260805002,D/D,,SPOTIFY,,-17.99
03/08/2026,20260803001,CREDIT,,WESTPAC,INTEREST,12.07
02/08/2026,20260802001,AP,,KIWISAVER,KS,-400.00
01/08/2026,20260801001,AP,,KAURI RENTALS LTD,RENT,-2150.00
