Transaction Date,Post Date,Description,Category,Type,Amount
08/20/2026,08/20/2026,DIRECT DEP AUCKLAND DHB PAYROLL,Paycheck,Payment,7432.18
08/19/2026,08/19/2026,COUNTDOWN MT EDEN,Groceries,Sale,-87.43
08/19/2026,08/19/2026,ALLPRESS ESPRESSO PONSONBY,Coffee Shop,Sale,-7.50
08/18/2026,08/18/2026,UBER EATS,Food & Drink,Sale,-38.70
08/17/2026,08/17/2026,Z ENERGY GREY LYNN,Gas,Sale,-89.64
08/16/2026,08/16/2026,NORTH STUDIO LTD INVOICE 882,Income,Payment,1150.00
08/15/2026,08/15/2026,GENESIS ENERGY POWER,Utilities,Sale,-186.42
08/14/2026,08/14/2026,SPARK FIBRE,Utilities,Sale,-99.00
08/12/2026,08/12/2026,NEW WORLD VICTORIA PARK,Groceries,Sale,-124.90
08/11/2026,08/11/2026,AT HOP TOP UP,Transit,Sale,-40.00
08/10/2026,08/10/2026,UNIQLO COMMERCIAL BAY,Shopping,Sale,-64.00
08/09/2026,08/09/2026,EVENT CINEMAS QUEEN ST,Entertainment,Sale,-29.50
08/08/2026,08/08/2026,IRD TAX REFUND,Income,Payment,428.60
08/08/2026,08/08/2026,NETFLIX.COM,Subscriptions,Sale,-24.99
08/06/2026,08/06/2026,UNCHEM PHARMACY,Health,Sale,-22.80
08/05/2026,08/05/2026,FARRO FRESH FREEMANS BAY,Groceries,Sale,-56.20
08/05/2026,08/05/2026,SPOTIFY,Subscriptions,Sale,-17.99
08/03/2026,08/03/2026,WESTPAC INTEREST,Interest,Payment,12.07
08/02/2026,08/02/2026,KIWISAVER,Savings,Sale,-400.00
08/01/2026,08/01/2026,KAURI RENTALS LTD RENT,Rent,Sale,-2150.00
