Category,Description,Reference1,Reference2,Reference3,Amount,Date
Direct credit,AUCKLAND DHB PAYROLL,SALARY,,,7432.18,20/08/2026
Visa purchase,COUNTDOWN MT EDEN,,,,-87.43,19/08/2026
Visa purchase,ALLPRESS ESPRESSO PONSONBY,,,,-7.50,19/08/2026
Visa purchase,UBER EATS,,,,-38.70,18/08/2026
Eft-pos,Z ENERGY GREY LYNN,,,,-89.64,17/08/2026
Direct credit,NORTH STUDIO LTD,INVOICE 882,,,1150.00,16/08/2026
Direct debit,GENESIS ENERGY,POWER,,,-186.42,15/08/2026
Direct debit,SPARK FIBRE,,,,-99.00,14/08/2026
Visa purchase,NEW WORLD VICTORIA PARK,,,,-124.90,12/08/2026
Eft-pos,AT HOP TOP UP,,,,-40.00,11/08/2026
Visa purchase,UNIQLO COMMERCIAL BAY,,,,-64.00,10/08/2026
Visa purchase,EVENT CINEMAS QUEEN ST,,,,-29.50,09/08/2026
Direct credit,IRD,TAX REFUND,,,428.60,08/08/2026
Direct debit,NETFLIX.COM,,,,-24.99,08/08/2026
Visa purchase,UNCHEM PHARMACY,,,,-22.80,06/08/2026
Visa purchase,FARRO FRESH FREEMANS BAY,,,,-56.20,05/08/2026
Direct debit,SPOTIFY,,,,-17.99,05/08/2026
Direct credit,WESTPAC,INTEREST,,,12.07,03/08/2026
Automatic payment,KIWISAVER,KS,,,-400.00,02/08/2026
Automatic payment,KAURI RENTALS LTD,RENT,,,-2150.00,01/08/2026
