Date,Amount,Other Party,Description,Reference,Particulars,Analysis Code
20/08/2026,7432.18,AUCKLAND DHB PAYROLL,SALARY,SALARY,,
19/08/2026,-87.43,COUNTDOWN MT EDEN,COUNTDOWN MT EDEN,,,
19/08/2026,-7.50,ALLPRESS ESPRESSO PONSONBY,ALLPRESS ESPRESSO PONSONBY,,,
18/08/2026,-38.70,UBER EATS,UBER EATS,,,
17/08/2026,-89.64,Z ENERGY GREY LYNN,Z ENERGY GREY LYNN,,,
16/08/2026,1150.00,NORTH STUDIO LTD,INVOICE 882,INVOICE 882,,
15/08/2026,-186.42,GENESIS ENERGY,POWER,POWER,,
14/08/2026,-99.00,SPARK FIBRE,SPARK FIBRE,,,
12/08/2026,-124.90,NEW WORLD VICTORIA PARK,NEW WORLD VICTORIA PARK,,,
11/08/2026,-40.00,AT HOP TOP UP,AT HOP TOP UP,,,
10/08/2026,-64.00,UNIQLO COMMERCIAL BAY,UNIQLO COMMERCIAL BAY,,,
09/08/2026,-29.50,EVENT CINEMAS QUEEN ST,EVENT CINEMAS QUEEN ST,,,
08/08/2026,428.60,IRD,TAX REFUND,TAX REFUND,,
08/08/2026,-24.99,NETFLIX.COM,NETFLIX.COM,,,
06/08/2026,-22.80,UNCHEM PHARMACY,UNCHEM PHARMACY,,,
05/08/2026,-56.20,FARRO FRESH FREEMANS BAY,FARRO FRESH FREEMANS BAY,,,
05/08/2026,-17.99,SPOTIFY,SPOTIFY,,,
03/08/2026,12.07,WESTPAC,INTEREST,INTEREST,,
02/08/2026,-400.00,KIWISAVER,KS,KS,,
01/08/2026,-2150.00,KAURI RENTALS LTD,RENT,RENT,,
